2019-06-15 17:39:43.089 | WARNING  | __main__:<module>:42 - Null response for: question1
2019-06-15 17:39:43.657 | WARNING  | __main__:<module>:42 - Null response for: How is the life of a math student? Could you describe your own experiences?
2019-06-15 17:39:44.222 | WARNING  | __main__:<module>:42 - Null response for: How do I control my horny emotions?
2019-06-15 17:39:44.811 | WARNING  | __main__:<module>:42 - Null response for: What causes stool color to change to yellow?
2019-06-15 17:39:45.422 | WARNING  | __main__:<module>:42 - Null response for: What can one do after MBBS?
2019-06-15 17:39:45.991 | WARNING  | __main__:<module>:42 - Null response for: Where can I find a power outlet for my laptop at Melbourne Airport?
2019-06-15 17:39:46.565 | WARNING  | __main__:<module>:42 - Null response for: How not to feel guilty since I am Muslim and Im conscious we wont have sex together?
2019-06-15 17:39:47.149 | WARNING  | __main__:<module>:42 - Null response for: How is air traffic controlled?
2019-06-15 17:39:47.836 | WARNING  | __main__:<module>:42 - Null response for: What is the best self help book you have read? Why? How did it change your life?
2019-06-15 17:39:48.401 | WARNING  | __main__:<module>:42 - Null response for: Can I enter University of Melbourne if I couldnt achieve the guaranteed marks in Trinity College Foundation?
2019-06-15 17:39:48.963 | WARNING  | __main__:<module>:42 - Null response for: Do you need a passport to go to Jamaica from the United States?
2019-06-15 17:39:49.548 | WARNING  | __main__:<module>:42 - Null response for: What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?
2019-06-15 17:39:50.121 | WARNING  | __main__:<module>:42 - Null response for: What will be Hillary Clintons policy towards India if she becomes president?
2019-06-15 17:39:50.866 | WARNING  | __main__:<module>:42 - Null response for: What is the responsibility of SAP ERP key user?
2019-06-15 17:39:51.424 | WARNING  | __main__:<module>:42 - Null response for: Which is the best book to study TENSOR for general relativity from basic?
2019-06-15 17:39:52.021 | WARNING  | __main__:<module>:42 - Null response for: How is being gay or lesbian less moral than divorce?
2019-06-15 17:39:52.597 | WARNING  | __main__:<module>:42 - Null response for: How do you thank a Disneyland cast member?
2019-06-15 17:39:53.145 | WARNING  | __main__:<module>:42 - Null response for: What are the coolest Android hacks and tricks you know?
2019-06-15 17:39:53.683 | WARNING  | __main__:<module>:42 - Null response for: If you received a check from Donald Knuth, what did you do and why did you get it?
2019-06-15 17:39:54.181 | WARNING  | __main__:<module>:42 - Null response for: Which are the best motivational videos?
2019-06-15 17:39:54.735 | WARNING  | __main__:<module>:42 - Null response for: How do I lose weight fast?
2019-06-15 17:39:55.260 | WARNING  | __main__:<module>:42 - Null response for: If a die is rolled, what is the probability that the number is greater than 4?
2019-06-15 17:39:55.708 | WARNING  | __main__:<module>:42 - Null response for: What are the best resources for learning Morse code?
2019-06-15 17:39:56.253 | WARNING  | __main__:<module>:42 - Null response for: Whether alloy are only isotropic and homogeneous like metals, or alloys also exhibit orthotropic/anisotropic and heterogeneous like CompositeMaterials?
2019-06-15 17:39:56.844 | WARNING  | __main__:<module>:42 - Null response for: How can I make me believe that everything is going good in life and get satisfaction when nothing is going right?
